feature,legacy_global,pitcher_expert,regular_expert,futures_expert,mean_importance
asof_pitcher_prev5_game_middle_rate,0.0,0.0,0.38596603159488446,0.5682903260587301,0.23856408941340362
recent_success_relative,0.0,0.427146074112732,0.5160174901263463,0.0,0.23579089105976958
score_diff_pitcher_team,0.0,0.0,0.16334267459431817,0.7200331461044581,0.22084395517469407
top_bottom,0.0,0.0,0.07661972874329215,0.7030519162793956,0.19491791125567193
pitcher_success_shrink_1000,0.0,0.29447547219455167,0.26510295945558754,0.16078699546451394,0.18009135677866328
is_full_count,0.06410413885760902,0.0,0.5332163420114924,0.0,0.14933012021727535
pitcher_success_form_3,0.0,0.0,0.25887176275740065,0.2753375240010992,0.13355232168962494
runner_on_1b,0.0,0.0,0.0,0.35597415716603636,0.08899353929150909
score_diff_home,0.0,0.0,0.08840287191073695,0.26186784103917243,0.08756767823747735
log_pitcher_n,0.13326262712473894,0.0,0.2039217887126497,0.0,0.08429610395934717
historical_expanding_prior,0.0,0.0,0.30773023401200145,0.0,0.07693255850300036
num_runners_on,0.0,0.0,0.09418414372193151,0.1853625492160496,0.06988667323449528
close_game,0.0,0.0,0.10503219284970118,0.1557144696683679,0.06518666562951728
base_state,0.0,0.0,0.0,0.2042439306763439,0.05106098266908597
runner_on_3b,0.0,0.0,0.0,0.16688232128665526,0.041720580321663814
runner_on_2b,0.0,0.0,0.0,0.15082492218922997,0.03770623054730749
bases_loaded,0.0,0.0,0.09816587666118129,0.0,0.024541469165295322
legacy_batter_success_shrink_50,0.07062852112029434,0.0,0.0,0.0,0.017657130280073586
legacy_pitcher_success_shrink_1000,0.05992631234320884,0.0,0.0,0.0,0.01498157808580221
batter_cold_start,0.0,0.0,0.0,0.0,0.0
extra_inning,0.0,0.0,0.0,0.0,0.0
batter_id,0.0,0.0,0.0,0.0,0.0
late_inning,0.0,0.0,0.0,0.0,0.0
legacy_batter_success_shrink_200,0.0,0.0,0.0,0.0,0.0
pitcher_cold_start,0.0,0.0,0.0,0.0,0.0
runner3_x_outs,0.0,0.0,0.0,0.0,0.0
recent_history_missing,0.0,0.0,0.0,0.0,0.0
risp,0.0,0.0,0.0,0.0,0.0
